iter	MultiClass
0	1.086613057
1	1.078746882
2	1.068053095
3	1.055324484
4	1.045629677
5	1.033073592
6	1.025142842
7	1.014870545
8	1.006438339
9	0.9914494329
10	0.9788827285
11	0.9692229565
12	0.9587146232
13	0.9479612792
14	0.9373961207
15	0.9270252522
16	0.9174863768
17	0.9091274409
18	0.9007425862
19	0.8924024902
20	0.8831087778
21	0.8756342996
22	0.8662666333
23	0.858789584
24	0.8512730407
25	0.8415726589
26	0.8348543934
27	0.8259069934
28	0.8182785676
29	0.8131732455
30	0.8030800885
31	0.7939732387
32	0.785628116
33	0.7767373012
34	0.7670707186
35	0.7568222696
36	0.7500721149
